step,agent_id,x,y,toxicload
1,2,451.95459415460186,479.95459415460186,0.0
1,3,461.95459415460186,450.95459415460186,0.0
1,1,407.95459415460186,494.95459415460186,0.0
2,2,452.0,480.0,0.0
2,3,462.0,451.0,0.0
2,1,408.0,495.0,0.0
3,2,452.0,481.0,0.0
3,3,462.0,452.0,0.0
3,1,408.0,496.0,0.0
4,2,452.0,482.0,0.0
4,3,462.0,453.0,0.0
4,1,408.0,497.0,0.0
5,2,452.0,483.0,0.0
5,3,462.0,454.0,0.0
5,1,408.0,498.0,0.0
6,2,452.0,484.0,0.0
6,3,462.0,455.0,0.0
6,1,408.0,499.0,0.0
7,2,452.0,485.0,0.0
7,3,462.0,456.0,0.0
7,1,408.0,500.0,0.0
8,2,452.0,486.0,0.0
8,3,462.0,457.0,0.0
8,1,408.0,501.0,0.0
9,2,452.0,487.0,0.0
9,3,462.0,458.0,0.0
9,1,408.0,502.0,0.0
10,2,452.0,488.0,0.0
10,3,462.0,459.0,0.0
10,1,408.0,503.0,0.0
11,2,452.0,489.0,0.0
11,3,462.0,460.0,0.0
11,1,408.0,504.0,0.0
12,2,452.0,490.0,0.0
12,3,462.0,461.0,0.0
12,1,408.0,505.0,0.0
13,2,452.0,491.0,0.0
13,3,462.0,462.0,0.0
13,1,408.0,506.0,0.0
14,2,452.0,492.0,0.0
14,3,462.0,463.0,0.0
14,1,408.0,507.0,0.0
15,2,452.0,493.0,0.0
15,3,462.0,464.0,0.0
15,1,408.0,508.0,0.0
16,2,452.0,494.0,0.0
16,3,462.0,465.0,0.0
16,1,408.0,509.0,0.0
17,2,452.0,495.0,0.0
17,3,462.0,466.0,0.0
17,1,408.0,510.0,0.0
18,2,452.0,496.0,0.0
18,3,462.0,467.0,0.0
18,1,408.0,511.0,0.0
19,2,452.0,497.0,0.0
19,3,462.0,468.0,0.0
19,1,408.0,512.0,0.0
20,2,452.0,498.0,0.0
20,3,462.0,469.0,0.0
20,1,408.0,513.0,0.0
21,2,452.0,499.0,0.0
21,3,462.0,470.0,0.0
21,1,408.0,514.0,0.0
22,2,452.0,500.0,0.0
22,3,462.0,471.0,0.0
22,1,408.0,515.0,0.0
23,2,452.0,501.0,0.0
23,3,462.0,472.0,0.0
23,1,408.0,516.0,0.0
24,2,452.0,502.0,0.0
24,3,462.0,473.0,0.0
24,1,408.0,517.0,0.0
25,2,452.0,503.0,0.0
25,3,462.0,474.0,0.0
25,1,408.0,518.0,0.0
26,2,452.0,504.0,0.0
26,3,462.0,475.0,0.0
26,1,408.0,519.0,0.0
27,2,452.0,505.0,0.0
27,3,462.0,476.0,0.0
27,1,408.0,520.0,0.0
28,2,452.0,506.0,0.0
28,3,462.0,477.0,0.0
28,1,408.0,521.0,0.0
29,2,452.0,507.0,0.0
29,3,462.0,478.0,0.0
29,1,408.0,522.0,0.0
30,2,452.0,508.0,0.0
30,3,462.0,479.0,0.0
30,1,408.0,523.0,0.0
31,2,452.0,509.0,0.0
31,3,462.0,480.0,0.0
31,1,408.0,524.0,0.0
32,2,452.0,510.0,0.0
32,3,462.0,481.0,0.0
32,1,408.0,525.0,0.0
33,2,452.0,511.0,0.0
33,3,462.0,482.0,0.0
33,1,408.0,526.0,0.0
34,2,452.0,512.0,0.0
34,3,462.0,483.0,0.0
34,1,408.0,527.0,0.0
35,2,452.0,513.0,0.0
35,3,462.0,484.0,0.0
35,1,408.0,528.0,0.0
36,2,452.0,514.0,0.0
36,3,462.0,485.0,0.0
36,1,408.0,529.0,0.0
37,2,452.0,515.0,0.0
37,3,462.0,486.0,0.0
37,1,408.0,530.0,0.0
38,2,452.0,516.0,0.0
38,3,462.0,487.0,0.0
38,1,408.0,531.0,0.0
39,2,452.0,517.0,0.0
39,3,462.0,488.0,0.0
39,1,408.0,532.0,0.0
40,2,452.0,518.0,0.0
40,3,462.0,489.0,0.0
40,1,408.0,533.0,0.0
41,2,452.0,519.0,0.0
41,3,462.0,490.0,0.0
41,1,408.0,534.0,0.0
42,2,452.0,520.0,0.0
42,3,462.0,491.0,0.0
42,1,408.0,535.0,0.0
43,2,452.0,521.0,0.0
43,3,462.0,492.0,0.0
43,1,408.0,536.0,0.0
44,2,452.0,522.0,0.0
44,3,462.0,493.0,0.0
44,1,408.0,537.0,0.0
45,2,452.0,523.0,0.0
45,3,462.0,494.0,0.0
45,1,408.0,538.0,0.0
46,2,452.0,524.0,0.0
46,3,462.0,495.0,0.0
46,1,408.0,539.0,0.0
47,2,452.0,525.0,0.0
47,3,462.0,496.0,0.0
47,1,408.0,540.0,0.0
48,2,452.0,526.0,0.0
48,3,462.0,497.0,0.0
48,1,408.0,541.0,0.0
49,2,452.0,527.0,0.0
49,3,462.0,498.0,0.0
49,1,408.0,542.0,0.0
50,2,452.0,528.0,0.0
50,3,462.0,499.0,0.0
50,1,408.0,543.0,0.0
51,2,452.0,529.0,0.0
51,3,462.0,500.0,0.0
51,1,408.0,544.0,0.0
52,2,452.95459415460186,529.9545941546019,0.0
52,3,462.0,501.0,0.0
52,1,408.0,545.0,0.0
53,2,453.0,530.0,0.0
53,3,462.0,502.0,0.0
53,1,408.0,546.0,0.0
54,2,453.0,531.0,0.0
54,3,462.0,503.0,0.0
54,1,408.0,547.0,0.0
55,2,453.0,532.0,0.0
55,3,462.0,504.0,0.0
55,1,408.95459415460186,547.9545941546019,0.0
56,2,453.0,533.0,0.0
56,3,462.0,505.0,0.0
56,1,409.0,548.0,0.0
57,2,453.0,534.0,0.0
57,3,462.0,506.0,0.0
57,1,409.0,549.0,0.0
58,2,453.0,535.0,0.0
58,3,462.0,507.0,0.0
58,1,409.0,550.0,0.0
59,2,453.0,536.0,0.0
59,3,462.0,508.0,0.0
59,1,409.0,551.0,0.0
60,2,453.0,537.0,0.0
60,3,462.0,509.0,0.0
60,1,409.0,552.0,0.0
61,2,453.0,538.0,0.0
61,3,462.0,510.0,0.0
61,1,409.0,553.0,0.0
62,2,453.0,539.0,0.0
62,3,462.0,511.0,0.0
62,1,409.0,554.0,0.0
63,2,453.0,540.0,0.0
63,3,462.0,512.0,0.0
63,1,409.0,555.0,0.0
64,2,453.0,541.0,0.0
64,3,462.0,513.0,0.0
64,1,409.0,556.0,0.0
65,2,453.0,542.0,0.0
65,3,462.0,514.0,0.0
65,1,409.0,557.0,0.0
66,2,453.0,543.0,0.0
66,3,462.0,515.0,0.0
66,1,409.0,558.0,0.0
67,2,453.0,544.0,0.0
67,3,462.0,516.0,0.0
67,1,409.0,559.0,0.0
68,2,453.0,545.0,0.0
68,3,462.0,517.0,0.0
68,1,409.0,560.0,0.0
69,2,453.0,546.0,0.0
69,3,462.0,518.0,0.0
69,1,409.0,561.0,0.0
70,2,453.0,547.0,0.0
70,3,462.0,519.0,0.0
70,1,409.0,562.0,0.0
71,2,453.0,548.0,0.0
71,3,462.0,520.0,0.0
71,1,409.0,563.0,0.0
72,2,453.0,549.0,0.0
72,3,462.0,521.0,0.0
72,1,409.0,564.0,0.0
73,2,453.0,550.0,0.0
73,3,462.0,522.0,0.0
73,1,409.0,565.0,0.0
74,2,453.0,551.0,0.0
74,3,462.0,523.0,0.0
74,1,409.0,566.0,0.0
75,2,453.0,552.0,0.0
75,3,462.0,524.0,0.0
75,1,409.0,567.0,0.0
76,2,453.0,553.0,0.0
76,3,462.0,525.0,0.0
76,1,409.0,568.0,0.0
77,2,453.0,554.0,0.0
77,3,462.95459415460186,525.9545941546019,0.0
77,1,409.0,569.0,0.0
78,2,453.0,555.0,0.0
78,3,463.0,526.0,0.0
78,1,409.0,570.0,0.0
79,2,453.0,556.0,0.0
79,3,463.0,527.0,0.0
79,1,409.0,571.0,0.0
80,2,453.0,557.0,0.0
80,3,463.0,528.0,0.0
80,1,409.0,572.0,0.0
81,2,453.0,558.0,0.0
81,3,463.0,529.0,0.0
81,1,409.0,573.0,0.0
82,2,453.0,559.0,0.0
82,3,463.0,530.0,0.0
82,1,409.0,574.0,0.0
83,2,453.0,560.0,0.0
83,3,463.0,531.0,0.0
83,1,409.0,575.0,0.0
84,2,453.0,561.0,0.0
84,3,463.0,532.0,0.0
84,1,409.0,576.0,0.0
85,2,453.0,562.0,0.0
85,3,463.0,533.0,0.0
85,1,409.0,577.0,0.0
86,2,453.0,563.0,0.0
86,3,463.0,534.0,0.0
86,1,409.0,578.0,0.0
87,2,453.0,564.0,0.0
87,3,463.0,535.0,0.0
87,1,409.0,579.0,0.0
88,2,453.0,565.0,0.0
88,3,463.0,536.0,0.0
88,1,409.0,580.0,0.0
89,2,453.0,566.0,0.0
89,3,463.0,537.0,0.0
89,1,409.0,581.0,0.0
90,2,453.0,567.0,0.0
90,3,463.0,538.0,0.0
90,1,409.0,582.0,0.0
91,2,453.0,568.0,0.0
91,3,463.0,539.0,0.0
91,1,409.0,583.0,0.0
92,2,453.0,569.0,0.0
92,3,463.0,540.0,0.0
92,1,409.0,584.0,0.0
93,2,453.0,570.0,0.0
93,3,463.0,541.0,0.0
93,1,409.0,585.0,0.0
94,2,453.0,571.0,0.0
94,3,463.0,542.0,0.0
94,1,409.0,586.0,0.0
95,2,453.0,572.0,0.0
95,3,463.0,543.0,0.0
95,1,409.0,587.0,0.0
96,2,453.0,573.0,0.0
96,3,463.0,544.0,0.0
96,1,409.0,588.0,0.0
97,2,453.0,574.0,0.0
97,3,463.0,545.0,0.0
97,1,409.0,589.0,0.0
98,2,453.0,575.0,0.0
98,3,463.0,546.0,0.0
98,1,409.0,590.0,0.0
99,2,453.0,576.0,0.0
99,3,463.0,547.0,0.0
99,1,409.0,591.0,0.0
100,2,453.0,577.0,0.0
100,3,463.0,548.0,0.0
100,1,409.0,592.0,0.0
101,2,453.0,578.0,0.0
101,3,463.0,549.0,0.0
101,1,409.0,593.0,0.0
102,2,453.0,579.0,0.0
102,3,463.0,550.0,0.0
102,1,409.0,594.0,0.0
103,2,453.0,580.0,0.0
103,3,463.0,551.0,0.0
103,1,409.0,595.0,0.0
104,2,453.0,581.0,0.0
104,3,463.0,552.0,0.0
104,1,409.0,596.0,0.0
105,2,453.0,582.0,0.0
105,3,463.0,553.0,0.0
105,1,409.0,597.0,0.0
106,2,453.0,583.0,0.0
106,3,463.0,554.0,0.0
106,1,409.0,598.0,0.0
107,2,453.0,584.0,0.0
107,3,463.0,555.0,0.0
107,1,409.0,599.0,0.0
108,2,453.0,585.0,0.0
108,3,463.0,556.0,0.0
108,1,409.0,600.0,0.0
109,2,453.0,586.0,0.0
109,3,463.0,557.0,0.0
109,1,409.0,601.0,0.0
110,2,453.0,587.0,0.0
110,3,463.0,558.0,0.0
110,1,409.0,602.0,0.0
111,2,453.0,588.0,0.0
111,3,463.0,559.0,0.0
111,1,409.0,603.0,0.0
112,2,453.0,589.0,0.0
112,3,463.0,560.0,0.0
112,1,409.0,604.0,0.0
113,2,453.0,590.0,0.0
113,3,463.0,561.0,0.0
113,1,409.0,605.0,0.0
114,2,453.0,591.0,0.0
114,3,463.0,562.0,0.0
114,1,409.0,606.0,0.0
115,2,453.0,592.0,0.0
115,3,463.0,563.0,0.0
115,1,409.0,607.0,0.0
116,2,453.0,593.0,0.0
116,3,463.0,564.0,0.0
116,1,409.0,608.0,0.0
117,2,453.0,594.0,0.0
117,3,463.0,565.0,0.0
117,1,409.0,609.0,0.0
118,2,453.0,595.0,0.0
118,3,463.0,566.0,0.0
118,1,409.0,610.0,0.0
119,2,453.0,596.0,0.0
119,3,463.0,567.0,0.0
119,1,409.0,611.0,0.0
120,2,453.0,597.0,0.015
120,3,463.0,568.0,0.015
120,1,409.0,612.0,0.015
121,2,453.0,598.0,0.03
121,3,463.0,569.0,0.03
121,1,409.0,613.0,0.03
122,2,453.0,599.0,0.045
122,3,463.0,570.0,0.045
122,1,409.0,614.0,0.045
123,2,453.0,600.0,0.06
123,3,463.0,571.0,0.06
123,1,409.0,615.0,0.06
124,2,453.0,601.0,0.07500000000000001
124,3,463.0,572.0,0.07500000000000001
124,1,409.0,616.0,0.07500000000000001
125,2,453.0,602.0,0.09000000000000001
125,3,463.0,573.0,0.09000000000000001
125,1,409.0,617.0,0.09000000000000001
126,2,453.0,603.0,0.10500000000000001
126,3,463.0,574.0,0.10500000000000001
126,1,409.0,618.0,0.10500000000000001
127,2,453.0,604.0,0.12
127,3,463.0,575.0,0.12
127,1,409.0,619.0,0.12
128,2,453.0,605.0,0.135
128,3,463.0,576.0,0.135
128,1,409.0,620.0,0.135
129,2,453.0,606.0,0.15
129,3,463.0,577.0,0.15
129,1,409.0,621.0,0.15
130,2,453.0,607.0,0.16499999999999998
130,3,463.0,578.0,0.16499999999999998
130,1,409.0,622.0,0.16499999999999998
131,2,453.0,608.0,0.17999999999999997
131,3,463.0,579.0,0.17999999999999997
131,1,409.0,623.0,0.17999999999999997
132,2,453.0,609.0,0.19499999999999995
132,3,463.0,580.0,0.19499999999999995
132,1,409.0,624.0,0.18999999999999997
133,2,453.0,610.0,0.20499999999999996
133,3,463.0,581.0,0.20999999999999996
133,1,409.0,625.0,0.19999999999999998
134,2,453.0,611.0,0.21499999999999997
134,3,463.0,582.0,0.22499999999999998
134,1,409.0,626.0,0.21
135,2,453.0,612.0,0.22499999999999998
135,3,463.0,583.0,0.24
135,1,409.0,627.0,0.22
136,2,453.0,613.0,0.235
136,3,463.0,584.0,0.255
136,1,409.0,628.0,0.23
137,2,453.0,614.0,0.245
137,3,463.0,585.0,0.27
137,1,409.0,629.0,0.24000000000000002
138,2,453.0,615.0,0.255
138,3,463.0,586.0,0.28500000000000003
138,1,409.0,630.0,0.25
139,2,453.0,616.0,0.265
139,3,463.0,587.0,0.30000000000000004
139,1,409.0,631.0,0.26
140,2,453.0,617.0,0.275
140,3,463.0,588.0,0.31500000000000006
140,1,409.0,632.0,0.27
141,2,453.0,618.0,0.28500000000000003
141,3,463.0,589.0,0.33000000000000007
141,1,409.0,633.0,0.28
142,2,453.0,619.0,0.29500000000000004
142,3,463.0,590.0,0.3450000000000001
142,1,409.0,634.0,0.29000000000000004
143,2,453.0,620.0,0.30500000000000005
143,3,463.0,591.0,0.3600000000000001
143,1,409.0,635.0,0.30000000000000004
144,2,453.0,621.0,0.31500000000000006
144,3,463.0,592.0,0.3750000000000001
144,1,409.0,636.0,0.31000000000000005
145,2,453.0,622.0,0.32500000000000007
145,3,463.0,593.0,0.3900000000000001
145,1,409.0,637.0,0.32000000000000006
146,2,453.0,623.0,0.3350000000000001
146,3,463.0,594.0,0.40500000000000014
146,1,409.0,638.0,0.33000000000000007
147,2,453.0,624.0,0.3450000000000001
147,3,463.0,595.0,0.42000000000000015
147,1,409.0,639.0,0.3400000000000001
148,2,453.0,625.0,0.3550000000000001
148,3,463.0,596.0,0.43500000000000016
148,1,409.0,640.0,0.3500000000000001
149,2,453.0,626.0,0.3650000000000001
149,3,463.0,597.0,0.4500000000000002
149,1,409.0,641.0,0.3600000000000001
150,2,453.0,627.0,0.3750000000000001
150,3,463.0,598.0,0.4650000000000002
150,1,409.0,642.0,0.3700000000000001
151,2,453.0,628.0,0.3850000000000001
151,3,463.0,599.0,0.4800000000000002
151,1,409.0,643.0,0.3800000000000001
152,2,453.0,629.0,0.39500000000000013
152,3,463.0,600.0,0.4950000000000002
152,1,409.0,644.0,0.3900000000000001
153,2,453.0,630.0,0.40500000000000014
153,3,463.0,601.0,0.5100000000000002
153,1,409.0,645.0,0.40000000000000013
154,2,453.0,631.0,0.41500000000000015
154,3,463.0,602.0,0.5250000000000002
154,1,409.0,646.0,0.41000000000000014
155,2,453.0,632.0,0.42500000000000016
155,3,463.0,603.0,0.5400000000000003
155,1,409.0,647.0,0.42000000000000015
156,2,453.0,633.0,0.43500000000000016
156,3,463.0,604.0,0.5550000000000003
156,1,409.0,648.0,0.43000000000000016
157,2,453.0,634.0,0.4450000000000002
157,3,463.0,605.0,0.5700000000000003
157,1,409.0,649.0,0.44000000000000017
158,2,453.0,635.0,0.4550000000000002
158,3,463.0,606.0,0.5850000000000003
158,1,409.0,650.0,0.4500000000000002
159,2,453.0,636.0,0.4650000000000002
159,3,463.0,607.0,0.6000000000000003
159,1,409.0,651.0,0.4600000000000002
160,2,453.0,637.0,0.4750000000000002
160,3,463.0,608.0,0.6150000000000003
160,1,409.0,652.0,0.4700000000000002
161,2,453.0,638.0,0.4850000000000002
161,3,463.0,609.0,0.6250000000000003
161,1,409.0,653.0,0.4800000000000002
162,2,453.0,639.0,0.4950000000000002
162,3,463.0,610.0,0.6350000000000003
162,1,409.0,654.0,0.4900000000000002
163,2,453.0,640.0,0.5050000000000002
163,3,463.0,611.0,0.6450000000000004
163,1,409.0,655.0,0.5000000000000002
164,2,453.0,641.0,0.5150000000000002
164,3,463.0,612.0,0.6550000000000004
164,1,409.0,656.0,0.5100000000000002
165,2,453.0,642.0,0.5250000000000002
165,3,463.0,613.0,0.6650000000000004
165,1,409.0,657.0,0.5200000000000002
166,2,453.0,643.0,0.5350000000000003
166,3,463.0,614.0,0.6750000000000004
166,1,409.0,658.0,0.5300000000000002
167,2,453.0,644.0,0.5450000000000003
167,3,463.0,615.0,0.6850000000000004
167,1,409.0,659.0,0.5400000000000003
168,2,453.0,645.0,0.5550000000000003
168,3,463.0,616.0,0.6950000000000004
168,1,409.0,660.0,0.5500000000000003
169,2,453.0,646.0,0.5650000000000002
169,3,463.0,617.0,0.7050000000000003
169,1,409.0,661.0,0.5600000000000002
170,2,453.0,647.0,0.5750000000000002
170,3,463.0,618.0,0.7150000000000003
170,1,409.0,662.0,0.5700000000000002
171,2,453.0,648.0,0.5850000000000002
171,3,463.0,619.0,0.7250000000000003
171,1,409.0,663.0,0.5800000000000002
172,2,453.0,649.0,0.5950000000000002
172,3,463.0,620.0,0.7350000000000003
172,1,409.0,664.0,0.5900000000000002
173,2,453.0,650.0,0.6050000000000002
173,3,463.0,621.0,0.7450000000000003
173,1,409.0,665.0,0.6000000000000002
174,2,453.0,651.0,0.6150000000000002
174,3,463.0,622.0,0.7550000000000003
174,1,409.0,666.0,0.6100000000000002
175,2,453.0,652.0,0.6250000000000002
175,3,463.0,623.0,0.7650000000000003
175,1,409.0,667.0,0.6150000000000002
176,2,453.0,653.0,0.6350000000000002
176,3,463.0,624.0,0.7750000000000004
176,1,409.0,668.0,0.6150000000000002
177,2,453.0,654.0,0.6450000000000002
177,3,463.0,625.0,0.7850000000000004
177,1,409.0,669.0,0.6150000000000002
178,2,453.0,655.0,0.6550000000000002
178,3,463.0,626.0,0.7950000000000004
178,1,409.0,670.0,0.6150000000000002
179,2,453.0,656.0,0.6650000000000003
179,3,463.0,627.0,0.8050000000000004
179,1,409.0,671.0,0.6150000000000002
180,2,453.0,657.0,0.6750000000000003
180,3,463.0,628.0,0.8150000000000004
180,1,409.0,672.0,0.6150000000000002
181,2,453.0,658.0,0.6850000000000003
181,3,463.0,629.0,0.8250000000000004
181,1,409.0,673.0,0.6150000000000002
182,2,453.0,659.0,0.6950000000000003
182,3,463.0,630.0,0.8350000000000004
182,1,409.0,674.0,0.6150000000000002
183,2,453.0,660.0,0.7050000000000003
183,3,463.0,631.0,0.8450000000000004
183,1,409.0,675.0,0.6150000000000002
184,2,453.0,661.0,0.7150000000000003
184,3,463.0,632.0,0.8550000000000004
184,1,409.0,676.0,0.6150000000000002
185,2,453.0,662.0,0.7250000000000003
185,3,463.0,633.0,0.8650000000000004
185,1,409.0,677.0,0.6150000000000002
186,2,453.0,663.0,0.7250000000000003
186,3,463.0,634.0,0.8750000000000004
186,1,409.0,678.0,0.6150000000000002
187,2,453.0,664.0,0.7250000000000003
187,3,463.0,635.0,0.8850000000000005
187,1,409.0,679.0,0.6150000000000002
188,2,453.0,665.0,0.7250000000000003
188,3,463.0,636.0,0.8950000000000005
188,1,409.0,680.0,0.6150000000000002
189,2,453.0,666.0,0.7250000000000003
189,3,463.0,637.0,0.9050000000000005
